Call_ID;Number_Questions;Number_Market_Questions;Percetage_Market_Questions
1;56;2;0.03571428571428571
2;60;3;0.05
3;88;5;0.056818181818181816
4;60;3;0.05
5;74;4;0.05405405405405406
6;60;10;0.16666666666666666
7;59;5;0.0847457627118644
8;48;5;0.10416666666666667
9;47;5;0.10638297872340426
10;28;0;0.0
11;39;8;0.20512820512820512
12;31;4;0.12903225806451613
13;38;7;0.18421052631578946
14;37;7;0.1891891891891892
15;39;4;0.10256410256410256
16;23;4;0.17391304347826086
17;43;4;0.09302325581395349
18;30;5;0.16666666666666666
19;24;1;0.041666666666666664
20;34;4;0.11764705882352941
21;16;0;0.0
22;13;2;0.15384615384615385
23;13;3;0.23076923076923078
24;21;5;0.23809523809523808
25;9;3;0.3333333333333333
26;16;3;0.1875
27;16;5;0.3125
28;21;2;0.09523809523809523
29;16;3;0.1875
30;23;2;0.08695652173913043
31;15;1;0.06666666666666667
32;17;4;0.23529411764705882
33;20;5;0.25
34;18;1;0.05555555555555555
35;12;3;0.25
36;16;6;0.375
37;19;4;0.21052631578947367
38;12;2;0.16666666666666666
39;14;4;0.2857142857142857
40;17;5;0.29411764705882354
41;14;2;0.14285714285714285
42;25;1;0.04
43;15;0;0.0
44;18;1;0.05555555555555555
45;19;0;0.0
46;12;1;0.08333333333333333
47;13;2;0.15384615384615385
48;16;0;0.0
49;14;0;0.0
50;23;0;0.0
51;14;1;0.07142857142857142
52;14;0;0.0
53;11;1;0.09090909090909091
54;20;0;0.0
55;19;2;0.10526315789473684
56;16;0;0.0
57;15;1;0.06666666666666667
58;13;2;0.15384615384615385
59;16;0;0.0
60;14;0;0.0
